ProbeID	REGENS:248	REGENS:249	REGENS:250	REGENS:251	REGENS:252	REGENS:253
ENSDART00000000004	2.19314845	2.034415108	1.947125844	2.064060768	1.962743927	2.066098432
ENSDART00000000005	5.034145945	5.970127867	5.647126792	5.037718979	5.662216631	5.288762577
ENSDART00000000019	2.278629015	1.725630081	2.694185342	2.880339367	2.823037484	2.355360865
ENSDART00000000042	0.116022338	0.165344672	0	0.130276517	0.128933072	0.074677299
ENSDART00000000069	4.283864954	3.876927444	4.300941349	4.044268876	3.906077424	3.966805183
ENSDART00000000070	5.156618976	4.91670922	5.251795972	5.221909178	5.096693658	4.889211457
ENSDART00000000087	4.885392636	5.465978823	5.44450873	5.371017895	5.339198574	5.465680297
ENSDART00000000102	1.043163517	1.314734855	0	1.450255	1.996935098	1.34519081
ENSDART00000000160	2.522412945	2.651310644	2.589311995	2.717145407	2.640423061	2.470465471
ENSDART00000000192	3.198317335	3.57273187	3.958582776	3.89646647	4.048726751	4.109058515
ENSDART00000000198	3.491151376	3.288890662	3.61636589	3.704146091	3.72073553	3.558814451
ENSDART00000000221	6.726582588	7.455581771	7.337293485	6.805454468	7.119092813	7.140218738
ENSDART00000000250	5.967602856	6.259705655	5.969444541	6.011368745	6.083435058	6.032126578
ENSDART00000000280	2.712581595	1.60123009	3.505451192	1.364604753	0	0
ENSDART00000000382	3.112450637	3.51643391	3.535650748	3.449279205	3.253727902	3.364145617
ENSDART00000000392	0.690742009	0.510981036	0.458055958	0.49519883	0.698868787	0.309251303
ENSDART00000000406	0	1.297019748	2.964673574	2.855437312	3.104911035	1.816992319
ENSDART00000000473	0	0	0	0.044745435	0	0
ENSDART00000000486	0.323344981	0.125750903	0.429747073	0.249757115	0.490673312	0.36981817
ENSDART00000000488	0	0.20388078	0.038003601	0.171212741	0.044270411	0.110614702
ENSDART00000000536	0	0	0.075031748	0.044745435	0	0.246029884
ENSDART00000000552	1.823829504	2.572509942	2.589311995	1.196322068	0	1.461077845
ENSDART00000000564	0	0	0	0	0	0
ENSDART00000000566	3.973685586	3.38005509	3.498653457	3.258264709	3.422557536	3.426066057
ENSDART00000000591	2.824830219	0	0	0	0	0
ENSDART00000000595	0	0	0.805192581	2.12783909	0	1.6191277
ENSDART00000000670	0.877687302	0.510981036	0.642040041	1.433526918	1.301350052	0.66391832
ENSDART00000000678	0	0	0	0	0	0
ENSDART00000000693	2.064270468	2.324038912	1.976778565	2.064060768	1.817249813	1.961748097
ENSDART00000000698	3.845081047	3.433733016	4.016835875	3.461707563	3.48009367	3.475136475
ENSDART00000000744	5.43317127	4.55058829	5.4077893	5.157155721	4.917887998	4.732263922
ENSDART00000000804	1.155896186	1.383496974	1.223178728	1.254624738	0.642385849	0.948373081
ENSDART00000000831	2.359326863	2.252310577	2.168855783	2.11740325	2.196475248	2.075220971
ENSDART00000000838	1.548970782	1.69889782	1.437384851	2.11740325	1.355060709	2.197226187
ENSDART00000000841	3.688344885	3.778230445	3.683841954	3.923673971	3.961958278	3.727421201
ENSDART00000000876	4.117508038	5.660364398	5.955860115	5.278036227	6.196866269	7.369323137
ENSDART00000000877	0	0	0	0	0	0
ENSDART00000000887	0.475914439	0.085039773	0.214314643	0.249757115	0.28466933	0.179910513
ENSDART00000000908	2.19314845	0	2.569986814	2.477073004	2.431297275	2.154827524
ENSDART00000000915	2.184315091	2.176828592	2.252048414	2.602097126	2.354262585	2.246512681
ENSDART00000000948	0	0	0	0	0.087222692	0
ENSDART00000000992	0.416808389	0.20388078	0.146353401	0	0.169471352	0.399174028
ENSDART00000001053	0	0	0	0	0	0
ENSDART00000001092	1.100630692	1.946243596	2.434080492	2.717145407	2.105385442	2.222079894
ENSDART00000001098	4.491466513	4.15038805	4.380745817	4.296360713	4.258220201	4.128907976
ENSDART00000001102	0	0	0.180734167	0	0.087222692	0
ENSDART00000001136	0.290794753	0.571177656	0.214314643	0.130276517	0.553285434	0.179910513
ENSDART00000001148	1.50707936	1.815474929	1.696945093	1.776352001	2.084337778	1.827827746
ENSDART00000001159	4.009132929	3.651520776	3.355505364	3.402770022	3.713899571	3.505822626
ENSDART00000001201	4.368183841	4.805206827	4.314552436	4.584712548	4.6524992	4.5047313
ENSDART00000001253	5.971458916	5.624414398	6.080591286	6.144526803	5.577198104	5.439427223
