"","V1","V2"
"ENSDART00000000004",0.845312610847874,0.753789388007021
"ENSDART00000000005",0.401998123894778,0.0540003786430689
"ENSDART00000000019",0.432441430746997,0.889602392566561
"ENSDART00000000069",0.169065122710115,0.0934768229407848
"ENSDART00000000070",0.369141958954872,0.254731872460766
"ENSDART00000000087",0.568660444586574,0.0725537669867201
"ENSDART00000000160",0.880075837916316,0.70283606748179
"ENSDART00000000192",0.958017297100059,0.0504709245631687
"ENSDART00000000198",0.364174877289396,0.407707892123104
"ENSDART00000000221",0.456973717244925,0.961427983060891
"ENSDART00000000250",0.171260255081185,0.103279473714189
"ENSDART00000000280",0.399232890332466,0.435114414262899
"ENSDART00000000382",0.714888639283987,0.152275934207861
"ENSDART00000000552",0.683264558258217,0.152744530467422
"ENSDART00000000564",0.502594834168969,0.124381142730727
"ENSDART00000000566",0.56774137492333,0.372096028259702
"ENSDART00000000595",0.858014228132232,0.702037371283025
"ENSDART00000000698",0.287887721009721,0.0493617813553415
"ENSDART00000000744",0.138731391831411,0.112139044724072
"ENSDART00000000831",0.906079463642839,0.159476066145103
"ENSDART00000000841",0.869888557428741,0.567268910691696
"ENSDART00000000876",0.793645258792961,0.985726511852262
"ENSDART00000000887",0.415275507363128,0.0809522752040411
"ENSDART00000000915",0.783909622767148,0.109145518728814
"ENSDART00000001098",0.224464933420867,0.108121119378004
"ENSDART00000001102",0.759086529773636,0.550546152267735
"ENSDART00000001159",0.926079658215475,0.485137239641664
"ENSDART00000001201",0.266202395248931,0.125066562976543
"ENSDART00000001253",0.485782772417596,0.117813648283551
"ENSDART00000001318",0.303297934939429,0.0753345860714829
"ENSDART00000001320",0.453667401781194,0.0809289459720692
"ENSDART00000001323",0.284493749449879,0.0544035606671333
"ENSDART00000001359",0.389158844084981,0.0649845092505835
"ENSDART00000001376",0.734149446323953,0.054029668013478
"ENSDART00000001424",0.696610028719505,0.073061037751732
"ENSDART00000001444",0.229111466279983,0.221478572259168
"ENSDART00000001678",0.318054351619576,0.160166150509098
"ENSDART00000001803",0.514064819222197,0.100102272987478
"ENSDART00000001804",0.171260255081185,0.074043729914548
"ENSDART00000001830",0.298063841099586,0.0627631547182141
"ENSDART00000001861",0.583545917853798,0.659031282625896
"ENSDART00000001907",0.619346033493324,0.709375089354215
"ENSDART00000001930",0.401729592224508,0.0573060472471521
"ENSDART00000002000",0.71133581411771,0.152870027627666
"ENSDART00000002027",0.378395139478258,0.232663338592228
"ENSDART00000002029",0.313729301099192,0.753170981467483
"ENSDART00000002053",0.966807262738598,0.114034851334884
"ENSDART00000002075",0.294652972878026,0.0477585194676593
"ENSDART00000002095",0.935035399675471,0.173089788585909
"ENSDART00000002104",0.794774308801132,0.507804765896028
"ENSDART00000002164",0.908175114267972,0.318853355779552
"ENSDART00000002186",0.235458308692044,0.104770337819914
"ENSDART00000002221",0.225705661313443,0.554383483028176
"ENSDART00000002225",0.2847177422388,0.770782851378364
"ENSDART00000002231",0.371701547641582,0.297059532885524
"ENSDART00000002244",0.626104656570008,0.0778742858003271
"ENSDART00000002247",0.584139080053066,0.0540003786430689
"ENSDART00000002250",0.292774929984099,0.0571186907573276
"ENSDART00000002279",0.633843313395972,0.0642705799655149
"ENSDART00000002309",0.420540466684735,0.0504709245631687
"ENSDART00000002318",0.912007911788066,0.150029293151453
"ENSDART00000002401",0.550783701849812,0.36037304170796
"ENSDART00000002449",0.376167917780613,0.0504709245631687
"ENSDART00000002453",0.138731391831411,0.793655916744485
"ENSDART00000002459",0.645990086836152,0.150029293151453
"ENSDART00000002463",0.677505115747114,0.0553754363396525
"ENSDART00000002464",0.855400152436584,0.805182842628776
"ENSDART00000002465",0.406730704715641,0.123238337003964
"ENSDART00000002469",0.30510165077446,0.0504709245631687
"ENSDART00000002481",0.375540093454031,0.182491834078457
"ENSDART00000002493",0.422953366011024,0.0953669544891564
"ENSDART00000002498",0.496787753906018,0.0861826600220111
"ENSDART00000002501",0.395399022282296,0.355611214237747
"ENSDART00000002510",0.560071605145081,0.438031756524925
"ENSDART00000002545",0.334756281654279,0.217648624839617
"ENSDART00000002556",0.616774587875111,0.0527809007270534
"ENSDART00000002562",0.657791714627354,0.161953785356355
"ENSDART00000002568",0.502594834168969,0.110631479159753
"ENSDART00000002571",0.445356384081716,0.387974171168469
"ENSDART00000002583",0.329544078095805,0.321161486626453
"ENSDART00000002595",0.41261165323577,0.0641866144593107
"ENSDART00000002622",0.939009097698643,0.266798118794753
"ENSDART00000002624",0.432441430746997,0.068180733794253
"ENSDART00000002633",0.881868836887316,0.747156998736911
"ENSDART00000002661",0.315923512675819,0.0504709245631687
"ENSDART00000002714",0.82951349505108,0.159735263751888
"ENSDART00000002741",0.919863611182968,0.167425818263891
"ENSDART00000002750",0.315923512675819,0.10117165375501
"ENSDART00000002763",0.41779219540116,0.0544035606671333
"ENSDART00000002764",0.35846019429842,0.137053876717994
"ENSDART00000002770",0.919749394763665,0.317307607761256
"ENSDART00000002773",0.685848446684748,0.0572033137842776
"ENSDART00000002777",0.325782602236132,0.0559810735863116
"ENSDART00000002778",0.78011037199176,0.0729251693920879
"ENSDART00000002783",0.986795643979637,0.0721545193818639
"ENSDART00000002812",0.190501460918415,0.087989831163381
"ENSDART00000002824",0.553217897574594,0.207240713824238
